tconst,nconst,director_id
tt0170452,nm0498637,7277
tt0170508,nm0209744,3470
tt0170691,nm0001708,333
tt0171339,nm0265541,4134
tt0171356,nm0086826,1860
tt0171359,nm0021899,1016
tt0171433,nm0001570,311
tt0171580,nm0001438,294
tt0171827,nm0097644,1986
tt0172156,nm0000881,191
tt0172464,nm0541896,7836
tt0172495,nm0000631,142
tt0172543,nm0523154,7605
tt0172632,nm0001804,355
tt0172699,nm0019010,983
tt0172794,nm0332829,5016
tt0172854,nm0811417,11188
tt0172949,nm0556845,8019
tt0172995,nm0420870,6178
tt0173498,nm0552358,7961
tt0173568,nm0002916,471
tt0173716,nm0000691,153
tt0173840,nm0756983,10450
tt0173840,nm1012102,13707
tt0174336,nm0169680,2975
tt0174480,nm0001040,221
tt0174646,nm0107621,2116
tt0174732,nm0783717,10840
tt0175114,nm0826101,11385
tt0175142,nm0005540,707
tt0175526,nm0942408,12845
tt0176185,nm0500535,7300
tt0176244,nm0271084,4222
tt0176578,nm0108754,2130
tt0176578,nm0004775,640
tt0176579,nm0070591,1630
tt0176650,nm0957263,13121
tt0176694,nm0417757,6149
tt0176783,nm0346550,5192
tt0176883,nm0103186,2063
tt0177068,nm0000401,83
tt0177185,nm0004084,583
tt0177195,nm0807746,11153
tt0177213,\N,0
tt0177513,nm0250202,3965
tt0177636,nm0761762,10524
tt0177650,nm0039468,1253
tt0177650,nm0569790,8183
tt0177845,nm0343503,5146
tt0177858,nm0015359,932
tt0177882,nm0766649,10604
tt0177885,nm0386504,5703
tt0177888,nm0742568,10275
tt0177971,nm0000583,129
tt0177997,nm0455394,6696
tt0178043,nm0112498,2185
tt0178050,nm0172781,3020
tt0178642,nm0111845,2173
tt0179098,nm0797869,11026
tt0179144,nm0908084,12438
tt0179183,nm0614276,8731
tt0179344,nm0411654,6065
tt0179400,nm0002278,414
tt0179435,nm0301903,4602
tt0179443,nm0858782,11783
tt0179473,nm0948267,12953
tt0179626,nm0381273,5640
tt0179653,nm0250627,3971
tt0179803,nm0485548,7089
tt0179861,nm0316151,4777
tt0180052,nm0881038,12110
tt0180073,nm0442241,6484
tt0180093,nm0004716,635
tt0180679,nm0001099,234
tt0180683,nm0585738,8358
tt0180734,nm0005367,693
tt0181151,nm0001566,309
tt0181311,nm0570082,8186
tt0181430,nm2722006,32186
tt0181536,nm0001814,357
tt0181689,nm0000229,45
tt0181739,nm0125803,2354
tt0181739,nm0268380,4179
tt0181836,nm0563301,8093
tt0181852,nm0609236,8653
tt0181865,nm0001752,347
