imdb_id,budget,revenue,certification,popularity,vote_average,vote_count
tt0182508,0.0,0.0,,4.657,5.815,27.0
tt0183056,0.0,0.0,,2.81,6.0,20.0
tt0183113,0.0,0.0,,1.377,1.0,1.0
tt0183142,0.0,0.0,,2.421,4.4,5.0
tt0183280,0.0,0.0,R,1.351,4.6,7.0
tt0183423,0.0,0.0,,1.452,0.0,0.0
tt0183488,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0183505,51000000.0,149270999.0,R,29.193,6.572,3272.0
tt0183523,90000000.0,60874615.0,PG,18.95,5.987,1186.0
tt0183550,0.0,0.0,,1.756,0.0,0.0
tt0183639,0.0,0.0,,0.907,10.0,1.0
tt0183659,6000000.0,10994533.0,R,12.681,6.68,256.0
tt0183808,3500000.0,0.0,,3.048,5.8,6.0
tt0183869,10500000.0,64400000.0,,21.267,6.221,1482.0
tt0184457,0.0,0.0,,1.4,2.0,1.0
tt0184858,42000000.0,32168970.0,R,14.931,5.64,537.0
tt0184894,55000000.0,99274467.0,PG-13,21.741,6.4,2163.0
tt0184907,13000000.0,62464731.0,PG,11.561,5.066,175.0
tt0185007,0.0,537.0,,5.079,4.6,7.0
tt0185014,35000000.0,0.0,R,15.872,6.8,497.0
tt0185183,73000000.0,29000000.0,PG-13,24.354,3.239,688.0
tt0185431,85000000.0,58292295.0,PG-13,27.197,5.875,1544.0
tt0185542,0.0,0.0,,1.899,5.0,5.0
tt0186029,0.0,0.0,,0.952,0.0,0.0
tt0186045,6000000.0,15427192.0,PG-13,11.731,5.6,137.0
tt0186151,31000000.0,68106245.0,PG-13,17.881,7.198,1440.0
tt0186183,700000.0,0.0,,9.677,5.621,62.0
tt0186454,0.0,0.0,,1.904,8.0,4.0
tt0186549,0.0,0.0,R,2.734,4.7,3.0
tt0186566,65000000.0,128884132.0,PG-13,18.036,6.366,1163.0
tt0186719,0.0,0.0,,0.711,4.8,4.0
tt0186894,35000000.0,36779296.0,PG-13,11.797,5.731,340.0
tt0186975,9000000.0,0.0,PG-13,9.023,5.173,208.0
tt0187078,90000000.0,237202299.0,PG-13,35.194,6.4,3768.0
tt0187387,0.0,0.0,PG-13,1.6960000000000002,5.7,3.0
tt0187393,110000000.0,215294342.0,R,37.208,7.2,3316.0
tt0187559,3000000.0,0.0,R,2.8120000000000003,6.0,5.0
tt0187696,0.0,0.0,R,10.479,6.1,240.0
tt0187750,0.0,0.0,R,0.6000000000000001,4.0,2.0
tt0187761,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0187847,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0188045,10000000.0,0.0,,2.145,5.3,5.0
tt0188055,0.0,0.0,,2.321,5.421,19.0
tt0188160,10000000.0,0.0,,2.339,4.8,7.0
tt0188490,0.0,0.0,,0.841,0.0,0.0
tt0188518,0.0,0.0,,1.812,6.1,11.0
tt0188688,0.0,0.0,,1.793,5.5,2.0
tt0189456,0.0,0.0,,7.081,4.192,52.0
tt0189998,8000000.0,8279017.0,R,10.115,6.698,472.0
tt0190052,0.0,0.0,,1.113,1.0,1.0
tt0190138,41300000.0,106371651.0,R,20.934,6.447,1567.0
tt0190332,17000000.0,213525736.0,,24.113,7.391,2700.0
tt0190374,35000000.0,15185241.0,PG-13,15.309,4.282,490.0
tt0190398,0.0,0.0,PG,1.218,5.167,3.0
tt0190449,0.0,0.0,,0.895,0.0,0.0
tt0190524,0.0,0.0,PG-13,6.898,4.257,105.0
tt0190590,26000000.0,71870729.0,PG-13,25.478,7.32,3522.0
tt0190736,0.0,0.0,,2.516,5.0,2.0
tt0190861,0.0,0.0,,7.787,6.17,135.0
tt0190865,75000000.0,215663859.0,PG-13,21.239,6.015,876.0
tt0190994,0.0,0.0,,0.651,4.0,2.0
tt0191037,0.0,14693.0,R,3.0,4.92,25.0
tt0191242,3500000.0,0.0,,2.128,5.0,7.0
tt0191397,50000000.0,50054511.0,PG-13,22.234,6.6,791.0
tt0191636,0.0,0.0,,4.787,6.5,46.0
tt0191754,43000000.0,6219894.0,PG-13,11.458,6.138,824.0
tt0191787,0.0,0.0,,0.634,0.0,0.0
tt0191996,0.0,0.0,R,5.956,5.6,48.0
tt0192126,0.0,0.0,,1.035,2.0,2.0
tt0192255,35000000.0,27965865.0,G,13.994,6.799,349.0
tt0192295,0.0,2061924.0,,1.095,5.7780000000000005,9.0
tt0192346,0.0,0.0,,0.6000000000000001,6.3,3.0
tt0192455,0.0,0.0,R,6.438,4.382,76.0
tt0192614,15000000.0,50802120.0,PG-13,10.805,5.749,483.0
tt0192719,0.0,0.0,,1.565,2.5,2.0
tt0192731,14000000.0,38574362.0,R,16.217,4.818,396.0
tt0192912,0.0,0.0,NR,0.621,3.5,1.0
tt0192949,0.0,0.0,,6.012,5.6,18.0
tt0193135,0.0,0.0,,0.728,6.0,1.0
tt0193318,0.0,0.0,,4.719,5.578,45.0
tt0193854,0.0,0.0,R,6.626,5.47,33.0
tt0193859,0.0,0.0,R,1.423,0.0,0.0
tt0194104,0.0,0.0,,0.988,6.447,18.0
tt0194218,1000000.0,779137.0,R,12.234,6.3,82.0
tt0194368,20000000.0,0.0,R,8.263,5.684,57.0
tt0194410,0.0,0.0,,1.15,4.2,6.0
tt0194519,0.0,0.0,,0.8220000000000001,6.0,1.0
tt0195234,10000000.0,26330482.0,R,14.247,6.504,358.0
tt0195308,1250000.0,0.0,PG,2.757,1.5,2.0
tt0195631,0.0,0.0,,1.999,4.0,1.0
tt0195685,52000000.0,256271286.0,,18.683,7.412,2641.0
tt0195714,23000000.0,112880294.0,,40.118,6.567,4699.0
tt0195778,15000000.0,10873148.0,PG-13,10.723,6.039,152.0
tt0195857,500000.0,0.0,,1.4,6.0,1.0
tt0195860,0.0,0.0,,1.091,0.0,0.0
tt0195944,0.0,0.0,,0.805,0.0,0.0
tt0195945,11000000.0,59827328.0,R,19.459,6.433,461.0
tt0196106,4.0,1.0,PG,6.619,4.8,67.0
tt0196216,0.0,0.0,PG,12.233,6.481,549.0
tt0196219,0.0,0.0,R,1.465,2.5,6.0
tt0196223,0.0,0.0,NR,3.968,5.9,18.0
tt0196708,0.0,0.0,R,6.591,6.2,34.0
tt0196723,20000000.0,0.0,,2.943,5.7,26.0
tt0197072,0.0,0.0,,1.873,5.125,8.0
tt0197096,0.0,0.0,PG-13,4.09,5.684,19.0
tt0197299,0.0,0.0,,1.21,2.25,4.0
tt0197384,0.0,26394.0,,6.308,6.2,39.0
tt0197644,0.0,0.0,R,1.77,1.0,1.0
tt0197646,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0197750,4000000.0,0.0,R,3.614,3.6,30.0
tt0197753,0.0,0.0,R,1.968,4.0,1.0
tt0197951,0.0,0.0,,2.366,4.5,11.0
tt0198021,15000000.0,33771174.0,PG-13,13.027,7.122,596.0
tt0198284,0.0,0.0,R,6.992,5.304,23.0
tt0198386,0.0,0.0,PG-13,5.859,5.533,28.0
tt0198893,0.0,0.0,R,1.4,2.7,3.0
tt0198903,0.0,0.0,,1.771,3.0,1.0
tt0199129,0.0,0.0,R,2.667,7.5,5.0
tt0199290,6000000.0,9000000.0,R,4.153,5.478,45.0
tt0199314,0.0,802951.0,R,7.915,5.3,97.0
tt0199504,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0199650,2000000.0,0.0,R,2.65,3.8,16.0
tt0199725,20000000.0,27728118.0,PG-13,14.737,7.484,369.0
tt0199727,0.0,0.0,,4.772,5.8,47.0
tt0199744,0.0,0.0,,3.097,4.75,8.0
tt0199753,80000000.0,33463969.0,PG-13,15.974,5.686,869.0
tt0199974,0.0,0.0,R,4.692,5.1,10.0
tt0200171,0.0,0.0,,0.6000000000000001,6.5,2.0
tt0200192,0.0,0.0,,31.034,5.495,194.0
tt0200427,0.0,0.0,R,3.787,6.2,20.0
tt0200472,0.0,0.0,,2.909,5.6,15.0
tt0200530,0.0,0.0,R,5.287,6.0,49.0
tt0200550,45000000.0,113916474.0,PG-13,31.803,6.24,1783.0
tt0200669,15000000.0,5753678.0,R,4.713,6.1,51.0
tt0200720,10000000.0,5164404.0,,8.58,6.46,62.0
tt0201670,0.0,0.0,,0.707,7.5,3.0
tt0201726,0.0,0.0,R,1.96,5.0,4.0
tt0201737,0.0,0.0,,1.246,5.7,3.0
tt0201888,0.0,0.0,,0.761,6.7,3.0
tt0201899,0.0,0.0,PG-13,3.41,6.6,22.0
tt0201901,0.0,0.0,,1.29,6.5,2.0
tt0202236,0.0,0.0,,2.019,4.3,6.0
tt0202314,0.0,0.0,,2.735,3.667,15.0
tt0202402,15000000.0,9902115.0,PG-13,14.292,5.9,231.0
tt0202452,0.0,0.0,,0.895,0.0,0.0
tt0202560,0.0,0.0,,0.6000000000000001,0.0,0.0
tt0202641,0.0,0.0,,3.837,7.179,14.0
tt0202677,8500000.0,19125401.0,R,13.859,6.351,346.0
tt0202711,0.0,0.0,,1.604,5.5,6.0
tt0202856,0.0,0.0,,1.521,7.0,2.0
tt0202989,0.0,0.0,R,4.143,3.2,10.0
tt0203019,32000000.0,82343495.0,R,32.395,7.433,1901.0
