certification,budget,revenue,imdb_id
,,,0
R,20000000.0,0.0,tt0194368
,0.0,0.0,tt0194410
,0.0,0.0,tt0194519
R,10000000.0,26330500.0,tt0195234
PG,1250000.0,0.0,tt0195308
,0.0,0.0,tt0195393
,0.0,0.0,tt0195631
,52000000.0,256271000.0,tt0195685
,23000000.0,112880000.0,tt0195714
PG-13,15000000.0,10873100.0,tt0195778
,500000.0,0.0,tt0195857
,0.0,0.0,tt0195860
,0.0,0.0,tt0195944
R,11000000.0,59827300.0,tt0195945
,0.0,0.0,tt0196068
,3000000.0,0.0,tt0196069
PG,4.0,1.0,tt0196106
R,7000000.0,0.0,tt0196158
PG,0.0,0.0,tt0196216
R,0.0,0.0,tt0196219
NR,0.0,0.0,tt0196223
PG-13,28000000.0,60781000.0,tt0196229
R,0.0,0.0,tt0196708
,20000000.0,0.0,tt0196723
,0.0,0.0,tt0197072
PG-13,0.0,0.0,tt0197096
,0.0,0.0,tt0197299
,0.0,26394.0,tt0197384
R,0.0,0.0,tt0197644
,0.0,0.0,tt0197646
R,4000000.0,0.0,tt0197750
R,0.0,0.0,tt0197753
,0.0,0.0,tt0197862
,0.0,0.0,tt0197929
,0.0,0.0,tt0197951
PG-13,15000000.0,33771200.0,tt0198021
R,0.0,0.0,tt0198284
PG-13,0.0,0.0,tt0198386
G,115000000.0,579708000.0,tt0198781
R,0.0,0.0,tt0198893
,0.0,0.0,tt0198903
R,0.0,0.0,tt0199129
R,6000000.0,9000000.0,tt0199290
R,0.0,802951.0,tt0199314
,15000000.0,0.0,tt0199481
,0.0,0.0,tt0199504
R,2000000.0,0.0,tt0199650
PG-13,20000000.0,27728100.0,tt0199725
,0.0,0.0,tt0199727
,0.0,0.0,tt0199744
PG-13,80000000.0,33464000.0,tt0199753
,0.0,0.0,tt0199898
R,0.0,0.0,tt0199974
PG-13,48000000.0,35743300.0,tt0200027
,0.0,0.0,tt0200171
,0.0,0.0,tt0200192
,0.0,0.0,tt0200422
R,0.0,0.0,tt0200427
,0.0,0.0,tt0200472
,0.0,0.0,tt0200483
R,0.0,0.0,tt0200530
PG-13,45000000.0,113916000.0,tt0200550
R,15000000.0,5753680.0,tt0200669
,10000000.0,5164400.0,tt0200720
,0.0,0.0,tt0200954
PG-13,0.0,0.0,tt0201020
R,6000000.0,0.0,tt0201394
,0.0,0.0,tt0201479
PG-13,0.0,0.0,tt0201485
,0.0,0.0,tt0201670
,0.0,0.0,tt0201694
R,0.0,0.0,tt0201726
,0.0,0.0,tt0201737
,0.0,0.0,tt0201888
PG-13,0.0,0.0,tt0201899
,0.0,0.0,tt0201901
,0.0,0.0,tt0202236
,0.0,0.0,tt0202294
,0.0,0.0,tt0202314
PG-13,15000000.0,9902120.0,tt0202402
,0.0,0.0,tt0202452
R,57000000.0,19334100.0,tt0202470
,0.0,0.0,tt0202560
,0.0,0.0,tt0202641
R,8500000.0,19125400.0,tt0202677
,0.0,0.0,tt0202711
,0.0,0.0,tt0202856
R,0.0,0.0,tt0202989
PG-13,52500000.0,179213000.0,tt0203009
R,32000000.0,82343500.0,tt0203019
,0.0,0.0,tt0203047
,0.0,0.0,tt0203053
,0.0,0.0,tt0203078
R,5000000.0,0.0,tt0203119
R,0.0,0.0,tt0203166
R,0.0,0.0,tt0203230
,250000.0,0.0,tt0203289
,0.0,0.0,tt0203297
R,0.0,1443070.0,tt0203540
,0.0,0.0,tt0203580
,0.0,0.0,tt0203632
R,0.0,0.0,tt0203755
R,0.0,0.0,tt0203830
,0.0,0.0,tt0203835
,0.0,0.0,tt0203940
R,3300000.0,0.0,tt0203975
,3600000.0,43805.0,tt0204137
PG-13,16000000.0,20627400.0,tt0204175
R,1200000.0,1404.0,tt0204350
,0.0,0.0,tt0204382
,0.0,0.0,tt0204619
R,33000000.0,0.0,tt0204626
,0.0,1079730.0,tt0204640
,0.0,0.0,tt0204698
NR,0.0,9200.0,tt0204700
,0.0,0.0,tt0204885
,0.0,0.0,tt0204932
,0.0,0.0,tt0204933
PG-13,28000000.0,90449900.0,tt0204946
,0.0,0.0,tt0205177
R,23000000.0,22844300.0,tt0205271
R,0.0,0.0,tt0205418
G,19000000.0,19748000.0,tt0205461
,0.0,0.0,tt0205498
,0.0,0.0,tt0205526
,0.0,0.0,tt0205729
,0.0,0.0,tt0205778
PG-13,0.0,0.0,tt0205873
,500000.0,0.0,tt0205936
,0.0,0.0,tt0206075
,0.0,0.0,tt0206088
,0.0,0.0,tt0206113
,0.0,0.0,tt0206184
,0.0,0.0,tt0206223
NR,1500000.0,268117.0,tt0206226
PG-13,13000000.0,131707000.0,tt0206275
R,23000000.0,36642800.0,tt0206314
G,0.0,628387.0,tt0206367
R,8000000.0,0.0,tt0206420
,0.0,0.0,tt0206545
,0.0,0.0,tt0206608
,0.0,0.0,tt0206694
,0.0,0.0,tt0206742
,0.0,0.0,tt0206762
,20170000.0,1800000.0,tt0206917
R,0.0,0.0,tt0206926
R,5250000.0,595005.0,tt0206963
R,0.0,0.0,tt0207036
PG,0.0,0.0,tt0207161
,0.0,0.0,tt0207163
,0.0,0.0,tt0207198
PG-13,70000000.0,374112000.0,tt0207201
,0.0,0.0,tt0207333
,0.0,0.0,tt0207377
,0.0,0.0,tt0207501
R,7300000.0,0.0,tt0207524
PG,0.0,0.0,tt0207585
,0.0,0.0,tt0207631
,0.0,0.0,tt0207638
,0.0,0.0,tt0207745
,0.0,0.0,tt0207988
PG-13,30000000.0,173959000.0,tt0208003
,0.0,0.0,tt0208017
R,0.0,0.0,tt0208037
,0.0,0.0,tt0208050
R,10000000.0,83557900.0,tt0208092
R,0.0,688510.0,tt0208196
,0.0,0.0,tt0208204
G,0.0,0.0,tt0208298
,0.0,0.0,tt0208870
R,20000000.0,22429000.0,tt0208874
,0.0,0.0,tt0208883
,0.0,0.0,tt0208889
PG-13,0.0,0.0,tt0208899
R,0.0,0.0,tt0208911
,0.0,0.0,tt0208942
R,63600000.0,19413000.0,tt0208988
R,0.0,0.0,tt0208990
,0.0,0.0,tt0208993
,0.0,0.0,tt0209020
R,0.0,0.0,tt0209037
,0.0,0.0,tt0209109
R,9000000.0,39723100.0,tt0209144
PG-13,98000000.0,443281000.0,tt0209163
,0.0,0.0,tt0209180
,0.0,0.0,tt0209253
,0.0,0.0,tt0209279
R,0.0,0.0,tt0209322
PG-13,35000000.0,94728500.0,tt0209475
,0.0,0.0,tt0209486
,0.0,0.0,tt0209941
R,33000000.0,104156000.0,tt0209958
,0.0,30915.0,tt0210065
R,5000000.0,0.0,tt0210070
,0.0,0.0,tt0210075
R,15000000.0,0.0,tt0210094
,0.0,0.0,tt0210149
PG-13,0.0,0.0,tt0210299
PG,0.0,0.0,tt0210357
PG-13,0.0,1433670.0,tt0210358
,0.0,0.0,tt0210362
R,16000000.0,109130.0,tt0210382
PG-13,0.0,0.0,tt0210567
PG-13,0.0,0.0,tt0210584
PG-13,29000000.0,26385900.0,tt0210616
,0.0,0.0,tt0210756
,0.0,0.0,tt0210930
PG,30000000.0,136707000.0,tt0210945
,0.0,0.0,tt0210952
G,85000000.0,183612000.0,tt0211181
,0.0,0.0,tt0211309
,0.0,0.0,tt0211387
R,11000000.0,16951800.0,tt0211443
R,15000000.0,12000000.0,tt0211465
,1864750.0,0.0,tt0211492
,0.0,0.0,tt0211661
,0.0,124994.0,tt0211718
R,10000000.0,173922000.0,tt0211915
,0.0,0.0,tt0211919
R,35000000.0,0.0,tt0211938
R,0.0,0.0,tt0211941
,0.0,0.0,tt0212048
R,2500000.0,0.0,tt0212059
,0.0,0.0,tt0212215
R,0.0,0.0,tt0212271
,0.0,0.0,tt0212292
,0.0,0.0,tt0212294
PG-13,55000000.0,330444000.0,tt0212338
PG-13,45000000.0,212000000.0,tt0212346
R,0.0,637769.0,tt0212380
,0.0,0.0,tt0212495
R,0.0,0.0,tt0212604
,0.0,0.0,tt0212667
,0.0,0.0,tt0212719
PG-13,100000000.0,235927000.0,tt0212720
R,0.0,0.0,tt0212742
,0.0,512451.0,tt0212815
,0.0,0.0,tt0212826
R,5000000.0,0.0,tt0212830
,0.0,0.0,tt0212867
R,500000.0,0.0,tt0212879
,0.0,0.0,tt0212881
PG,0.0,0.0,tt0212910
R,0.0,0.0,tt0212974
R,87000000.0,351692000.0,tt0212985
,0.0,0.0,tt0213113
R,0.0,0.0,tt0213127
PG-13,140000000.0,449221000.0,tt0213149
G,30000000.0,103291000.0,tt0213203
,0.0,0.0,tt0213205
,0.0,0.0,tt0213446
,0.0,0.0,tt0213561
,2000000.0,0.0,tt0213642
,0.0,0.0,tt0213690
R,24000000.0,13700000.0,tt0213790
R,0.0,0.0,tt0213802
R,0.0,14493300.0,tt0213847
PG,4000000.0,0.0,tt0213890
,0.0,0.0,tt0214032
R,0.0,0.0,tt0214106
,0.0,0.0,tt0214140
,4500000.0,0.0,tt0214277
R,0.0,0.0,tt0214388
,0.0,0.0,tt0214520
,0.0,0.0,tt0214529
,0.0,0.0,tt0214548
,0.0,0.0,tt0214619
NC-17,0.0,0.0,tt0214638
,0.0,0.0,tt0214646
,0.0,0.0,tt0214728
Unrated,0.0,0.0,tt0214757
,3000000.0,0.0,tt0214871
,0.0,0.0,tt0214878
R,16000000.0,119754000.0,tt0215129
R,2300000.0,0.0,tt0215135
,0.0,0.0,tt0215139
,0.0,0.0,tt0215223
R,0.0,0.0,tt0215232
,0.0,0.0,tt0215458
R,0.0,0.0,tt0215516
,0.0,0.0,tt0215519
R,0.0,0.0,tt0215545
,0.0,0.0,tt0215679
,0.0,0.0,tt0215681
,0.0,0.0,tt0215727
R,68000000.0,96976300.0,tt0215750
,0.0,0.0,tt0215841
,0.0,0.0,tt0215941
R,0.0,0.0,tt0216105
R,0.0,0.0,tt0216196
PG-13,82000000.0,96085500.0,tt0216216
,0.0,0.0,tt0216279
,0.0,0.0,tt0216417
,0.0,0.0,tt0216522
,0.0,0.0,tt0216578
,0.0,0.0,tt0216587
R,2500000.0,0.0,tt0216620
,0.0,95242.0,tt0216625
R,0.0,151086.0,tt0216651
,0.0,0.0,tt0216669
,0.0,0.0,tt0216689
R,0.0,0.0,tt0216772
,0.0,0.0,tt0216787
,0.0,0.0,tt0216799
,0.0,3818450.0,tt0216800
,6850000.0,0.0,tt0216841
,0.0,0.0,tt0216890
R,0.0,0.0,tt0216930
,0.0,0.0,tt0216982
,0.0,0.0,tt0216990
,0.0,0.0,tt0217019
R,0.0,0.0,tt0217086
R,200000.0,1160270.0,tt0217107
,0.0,0.0,tt0217119
,0.0,0.0,tt0217135
,0.0,0.0,tt0217287
R,0.0,0.0,tt0217331
R,0.0,0.0,tt0217355
,0.0,0.0,tt0217570
R,0.0,0.0,tt0217621
PG-13,0.0,0.0,tt0217630
,0.0,0.0,tt0217654
,0.0,0.0,tt0217686
PG-13,24000000.0,12372400.0,tt0217756
,0.0,0.0,tt0217758
,0.0,0.0,tt0217780
,0.0,4275.0,tt0217788
,0.0,0.0,tt0217824
PG-13,75000000.0,248118000.0,tt0217869
R,0.0,0.0,tt0217978
R,0.0,0.0,tt0217979
,500000.0,0.0,tt0218000
PG,0.0,0.0,tt0218032
R,0.0,0.0,tt0218053
,0.0,0.0,tt0218067
R,0.0,0.0,tt0218080
NR,0.0,0.0,tt0218107
,0.0,0.0,tt0218112
,0.0,0.0,tt0218126
,1000000.0,0.0,tt0218138
,0.0,0.0,tt0218141
R,0.0,0.0,tt0218182
NR,0.0,0.0,tt0218298
,0.0,0.0,tt0218323
R,0.0,0.0,tt0218378
,0.0,0.0,tt0218379
,0.0,0.0,tt0218426
,0.0,0.0,tt0218475
,0.0,0.0,tt0218533
,0.0,0.0,tt0218581
,0.0,0.0,tt0218616
PG-13,17000000.0,4299140.0,tt0218619
PG-13,250000.0,0.0,tt0218625
,0.0,0.0,tt0218641
,0.0,0.0,tt0218741
,0.0,0.0,tt0218800
PG-13,30000000.0,18195600.0,tt0218817
PG-13,0.0,0.0,tt0218839
R,42000000.0,35402300.0,tt0218922
PG-13,60000000.0,124700000.0,tt0218967
R,0.0,0.0,tt0218978
,0.0,0.0,tt0219210
,0.0,0.0,tt0219214
,0.0,0.0,tt0219223
,0.0,0.0,tt0219288
,0.0,0.0,tt0219327
,0.0,0.0,tt0219333
,0.0,0.0,tt0219336
,0.0,0.0,tt0219338
PG-13,0.0,0.0,tt0219408
,0.0,0.0,tt0219469
,0.0,0.0,tt0219519
R,850000.0,0.0,tt0219636
R,0.0,0.0,tt0219640
,0.0,0.0,tt0219643
R,28000000.0,47053600.0,tt0219653
PG-13,0.0,86000.0,tt0219687
R,10000000.0,12008600.0,tt0219699
R,6000000.0,1600000.0,tt0219822
PG,65000000.0,110318000.0,tt0219854
R,65000000.0,0.0,tt0219952
R,0.0,0.0,tt0219957
PG-13,75000000.0,67631900.0,tt0219965
NR,0.0,0.0,tt0220005
,0.0,0.0,tt0220034
G,30000000.0,45554500.0,tt0220099
R,4000000.0,0.0,tt0220100
NR,0.0,0.0,tt0220122
,0.0,0.0,tt0220157
,0.0,0.0,tt0220331
,0.0,0.0,tt0220332
,0.0,0.0,tt0220399
,0.0,0.0,tt0220514
R,0.0,1864180.0,tt0220580
,0.0,0.0,tt0220627
,0.0,0.0,tt0220631
,0.0,0.0,tt0220651
,0.0,0.0,tt0220652
R,4000000.0,0.0,tt0220827
,0.0,0.0,tt0220864
R,53000000.0,83282300.0,tt0221027
R,0.0,0.0,tt0221069
R,0.0,236185.0,tt0221073
PG,3000000.0,0.0,tt0221074
,0.0,0.0,tt0221197
PG-13,30000000.0,23619600.0,tt0221218
,0.0,0.0,tt0221297
,0.0,0.0,tt0221431
R,7000000.0,0.0,tt0221559
,0.0,0.0,tt0221563
PG-13,0.0,850225.0,tt0221799
,0.0,0.0,tt0221823
,0.0,0.0,tt0221837
,0.0,0.0,tt0221838
,0.0,0.0,tt0221885
R,0.0,313768.0,tt0221889
,0.0,676805.0,tt0221928
,0.0,0.0,tt0221982
PG-13,3900000.0,4900000.0,tt0222012
,0.0,0.0,tt0222020
,0.0,0.0,tt0222023
,0.0,0.0,tt0222270
,0.0,0.0,tt0222293
,6000000.0,0.0,tt0222375
,0.0,0.0,tt0222666
,0.0,0.0,tt0222705
NC-17,0.0,0.0,tt0222717
R,1000000.0,1744860.0,tt0222850
R,12000000.0,15250000.0,tt0222851
,0.0,0.0,tt0222989
,0.0,0.0,tt0223268
R,0.0,0.0,tt0223284
,0.0,10000000.0,tt0223593
R,0.0,0.0,tt0223744
,0.0,0.0,tt0223856
R,0.0,0.0,tt0223889
