imdb_id,production_companies_id
tt0216772,13615
tt0216787,8504
tt0216787,4008
tt0216787,12697
tt0216799,8504
tt0216799,4008
tt0216799,21307
tt0216799,20215
tt0216799,19739
tt0216800,4008
tt0216800,3855
tt0216800,6105
tt0216800,13377
tt0216800,12378
tt0216800,13452
tt0216841,4008
tt0216841,2280
tt0216841,21656
tt0216841,4981
tt0216841,13840
tt0216841,17610
tt0216890,4008
tt0216890,21656
tt0216890,12698
tt0216890,16456
tt0216930,1776
tt0216930,3197
tt0216930,18428
tt0216990,23955
tt0216990,21764
tt0216990,1161
tt0216990,21780
tt0216990,22770
tt0216990,8334
tt0217019,4008
tt0217019,1058
tt0217019,4981
tt0217019,18010
tt0217086,1103
tt0217086,23277
tt0217107,18131
tt0217107,21725
tt0217119,24963
tt0217287,24963
tt0217331,1147
tt0217355,6435
tt0217355,14853
tt0217355,2769
tt0217355,8901
tt0217355,11863
tt0217621,24963
tt0217630,5042
tt0217654,4574
tt0217756,24096
tt0217756,2701
tt0217758,8064
tt0217758,18357
tt0217780,24963
tt0217788,11127
tt0217788,11128
tt0217788,8297
tt0217788,10457
tt0217869,12930
tt0217869,22786
tt0217869,3116
tt0217869,2486
tt0218067,24963
tt0218080,17049
tt0218080,8513
tt0218080,4065
tt0218112,18424
tt0218138,24963
tt0218141,22553
tt0218141,23507
tt0218141,2728
tt0218182,5042
tt0218182,6492
tt0218182,2378
tt0218182,2547
tt0218298,16938
tt0218298,18594
tt0218298,24242
tt0218378,4008
tt0218378,18599
tt0218378,1797
tt0218378,1103
tt0218378,16822
tt0218378,2164
tt0218378,5563
tt0218378,9555
tt0218379,618
tt0218379,4008
tt0218379,17956
tt0218379,13515
tt0218379,908
tt0218379,21990
tt0218379,21985
tt0218426,1103
tt0218426,5384
tt0218475,24963
tt0218533,19086
tt0218581,16247
tt0218616,6435
tt0218616,7904
tt0218616,3542
tt0218625,22267
tt0218641,24963
tt0218741,24963
tt0218800,24963
tt0218839,4164
tt0218967,19461
tt0218967,3623
tt0218967,2575
tt0219210,24963
tt0219214,11967
tt0219214,9243
tt0219223,13192
tt0219223,20089
tt0219223,12842
tt0219288,25185
tt0219288,4607
tt0219288,6639
tt0219288,13248
tt0219288,14501
tt0219333,24963
tt0219338,23955
tt0219338,24913
tt0219338,927
tt0219469,24963
tt0219519,24963
tt0219636,24963
tt0219640,24963
tt0219643,24963
tt0219653,15411
tt0219653,6180
tt0219653,24211
tt0219699,12451
tt0219699,1145
tt0219854,24057
tt0219854,4393
tt0219854,11519
tt0219952,16715
tt0219952,21307
tt0220099,24057
tt0220099,6222
tt0220099,6225
tt0220100,19580
tt0220100,18362
tt0220157,24963
tt0220332,24963
tt0220399,24963
tt0220627,23179
tt0220627,14129
tt0220627,19188
tt0220631,16874
tt0220651,6991
tt0220652,24963
tt0221069,4008
tt0221069,8367
tt0221069,21761
tt0221069,9132
tt0221073,16734
tt0221073,2006
tt0221073,15116
tt0221197,5755
tt0221197,19480
tt0221431,6819
tt0221563,7344
tt0221823,24963
tt0221838,3543
tt0221838,3542
tt0221885,24963
tt0221889,5620
tt0221889,1797
tt0221889,5622
tt0221889,20418
tt0221928,19716
tt0221928,18890
tt0221928,6675
tt0221928,10826
tt0221982,5807
tt0222012,18075
tt0222020,23342
tt0222020,13008
tt0222023,24963
tt0222270,6529
tt0222270,18317
tt0222293,10733
tt0222293,22190
tt0222375,24963
tt0222666,4836
tt0222666,16209
tt0222717,4892
tt0222717,18693
tt0222717,16282
tt0222717,635
tt0222850,2430
tt0222850,14184
tt0222851,2402
tt0222851,16071
tt0222851,22683
tt0222851,18297
tt0222851,8764
tt0222851,12996
tt0222989,24963
tt0223268,23955
tt0223268,21757
tt0223268,4160
tt0223268,7586
tt0223593,24963
tt0223744,19820
tt0223744,8683
tt0223856,12956
tt0223889,21492
tt0223897,24096
tt0223897,2701
tt0223897,21896
tt0223911,4892
tt0223911,18693
tt0223911,16282
tt0223911,635
tt0223954,10782
tt0224050,2167
tt0224050,19581
tt0224050,18069
tt0224050,1153
tt0224050,22870
tt0224086,4893
tt0224086,18693
tt0224086,16282
tt0224086,635
tt0224394,4741
tt0224578,618
tt0224578,4008
tt0224578,24770
tt0224578,9816
tt0224578,12580
tt0224755,24963
tt0225196,16682
tt0226094,5135
tt0226198,3855
tt0226198,4776
tt0226198,14040
tt0226198,11225
tt0226198,24780
tt0226225,8738
tt0226238,24963
tt0226351,828
tt0226430,15574
tt0226430,19780
tt0226498,2423
tt0226708,8962
tt0226708,4008
tt0226708,3855
tt0226708,21656
tt0226708,11605
tt0227200,24963
tt0227224,10463
tt0227224,24064
tt0227277,23955
tt0227277,22770
tt0227277,16337
tt0227277,5461
tt0227277,13840
tt0227277,7256
tt0227277,18880
tt0227277,16828
tt0227277,6824
tt0227277,8717
tt0227277,17817
tt0227277,21933
tt0227458,12764
tt0228004,24963
tt0228054,24963
tt0228121,24963
tt0228180,24963
tt0228242,618
tt0228242,4008
tt0228242,17856
tt0228242,3855
tt0228242,12710
tt0228242,12377
tt0228277,8743
tt0228525,4420
tt0228687,644
tt0228687,10638
tt0228720,20697
tt0228750,4164
tt0228750,24096
tt0228750,2701
tt0228750,1490
tt0228786,8962
tt0228786,4008
tt0228786,21656
tt0228786,13329
tt0228871,8003
tt0228871,19133
tt0228871,8021
tt0228891,13431
tt0228891,1147
tt0228891,23796
tt0228891,3688
tt0228891,17349
tt0228891,21062
tt0228891,23040
tt0228982,23039
tt0228992,24963
tt0229226,24963
tt0229260,1776
tt0229260,9932
tt0229340,751
tt0229340,9110
tt0229362,24619
tt0229664,4008
tt0229664,3855
tt0229664,9649
tt0229664,12684
tt0229664,12322
tt0229664,21274
tt0229664,19336
tt0229752,24963
tt0229942,24963
tt0230030,122
tt0230030,18468
tt0230030,12011
tt0230169,21910
tt0230169,4836
tt0230169,23277
tt0230169,12186
tt0230183,25185
tt0230183,17465
tt0230189,24963
tt0230252,24963
tt0230308,24963
tt0230631,24963
tt0230783,9211
tt0231138,12154
tt0231153,24963
tt0231496,24963
tt0231615,2006
tt0231615,9471
tt0231615,7884
tt0231615,13436
tt0231615,15179
tt0231615,14237
tt0231781,24963
tt0231956,4163
tt0231956,10473
tt0231971,20517
tt0232079,24963
tt0232083,8504
tt0232083,13483
tt0232083,3892
tt0232465,19087
tt0232657,19548
tt0232657,23256
tt0232957,21942
tt0233289,24963
tt0233402,24963
tt0233569,23107
tt0233600,9259
tt0233656,14228
tt0233656,16471
tt0233699,20071
tt0233699,9506
tt0233699,13130
tt0233764,21703
tt0233764,248
tt0233764,249
tt0233910,1855
tt0233954,4008
tt0233954,1797
tt0233954,16822
tt0233954,12985
tt0234000,7839
tt0234058,25185
tt0234058,20369
tt0234058,2158
tt0234058,21245
tt0234058,531
tt0234058,9300
tt0234058,8298
tt0234058,11358
tt0234058,19527
tt0234137,13426
tt0234137,2606
